Evaluation,Objective,DataMSE,Penalty
0,0.000970105651632088,0.000970105651632088,0.0
1,0.000970105651632088,0.000970105651632088,0.0
2,0.0009678349101242292,0.0009678349101242292,0.0
3,0.0009714353895118826,0.0009714353895118826,0.0
4,0.000971783560948911,0.000971783560948911,0.0
5,0.0009679576587119142,0.0009679576587119142,0.0
6,0.0009713822710798244,0.0009713822710798244,0.0
7,0.0009715518153024661,0.0009715518153024661,0.0
8,0.000968742218077551,0.000968742218077551,0.0
9,0.0009709103849557943,0.0009709103849557943,0.0
10,0.0009709091886324591,0.0009709091886324591,0.0
11,0.0009683781513526252,0.0009683781513526252,0.0
12,0.0009707222048848588,0.0009707222048848588,0.0
13,0.0009716589285459339,0.0009716589285459339,0.0
14,0.0009689291055541794,0.0009689291055541794,0.0
15,0.0009707983707365001,0.0009707983707365001,0.0
16,0.0009706253636139737,0.0009706253636139737,0.0
17,0.000968126496541527,0.000968126496541527,0.0
18,0.0009706222203966926,0.0009706222203966926,0.0
19,0.0009719884584869429,0.0009719884584869429,0.0
20,0.0009681474884189849,0.0009681474884189849,0.0
21,0.0009689645030018402,0.0009689645030018402,0.0
22,0.0009681074512674425,0.0009681074512674425,0.0
23,0.0009679641454544891,0.0009679641454544891,0.0
24,0.0009673551193869451,0.0009673551193869451,0.0
25,0.0009656661495972416,0.0009656661495972416,0.0
26,0.0009667783277842785,0.0009667783277842785,0.0
27,0.0009666689751906352,0.0009666689751906352,0.0
28,0.0009661704313993143,0.0009661704313993143,0.0
29,0.0009657429646952161,0.0009657429646952161,0.0
30,0.0009653052080524902,0.0009653052080524902,0.0
31,0.0009628028703633093,0.0009628028703633093,0.0
32,0.0009642497707244052,0.0009642497707244052,0.0
33,0.0009638324374454005,0.0009638324374454005,0.0
34,0.0009635453943834772,0.0009635453943834772,0.0
35,0.0009655114484734279,0.0009655114484734279,0.0
36,0.0009639721986664094,0.0009639721986664094,0.0
37,0.0009638133149216417,0.0009638133149216417,0.0
38,0.0009633648441392813,0.0009633648441392813,0.0
39,0.0009630038752502329,0.0009630038752502329,0.0
40,0.0009625123744543946,0.0009625123744543946,0.0
41,0.0009599783789057333,0.0009599783789057333,0.0
42,0.0009620483256482749,0.0009620483256482749,0.0
43,0.0009614715444137521,0.0009614715444137521,0.0
44,0.0009607403574538488,0.0009607403574538488,0.0
45,0.0009602594689784869,0.0009602594689784869,0.0
46,0.0009603024808901722,0.0009603024808901722,0.0
47,0.000959561230020113,0.000959561230020113,0.0
48,0.0009564934804148826,0.0009564934804148826,0.0
49,0.0009593306408642999,0.0009593306408642999,0.0
50,0.0009587440904066225,0.0009587440904066225,0.0
51,0.0009577825904922018,0.0009577825904922018,0.0
52,0.0009578524900867475,0.0009578524900867475,0.0
53,0.0009579680621774968,0.0009579680621774968,0.0
54,0.0009573426618157689,0.0009573426618157689,0.0
55,0.0009569805941320512,0.0009569805941320512,0.0
56,0.0009562816712102821,0.0009562816712102821,0.0
57,0.0009531889390181474,0.0009531889390181474,0.0
58,0.0009554255151864386,0.0009554255151864386,0.0
59,0.0009547260891597498,0.0009547260891597498,0.0
60,0.0009539535786993326,0.0009539535786993326,0.0
61,0.0009534870647312846,0.0009534870647312846,0.0
62,0.0009531391606504704,0.0009531391606504704,0.0
63,0.0009493290718995806,0.0009493290718995806,0.0
64,0.0009526748593587904,0.0009526748593587904,0.0
65,0.0009524354811190832,0.0009524354811190832,0.0
66,0.0009517156588942755,0.0009517156588942755,0.0
67,0.0009509603223598902,0.0009509603223598902,0.0
68,0.0009503281433107479,0.0009503281433107479,0.0
69,0.0009496263417225518,0.0009496263417225518,0.0
70,0.0009490860027382077,0.0009490860027382077,0.0
71,0.0009447789755925101,0.0009447789755925101,0.0
72,0.0009483004006532056,0.0009483004006532056,0.0
73,0.0009491021159344246,0.0009491021159344246,0.0
74,0.0009483038164859582,0.0009483038164859582,0.0
75,0.0009465075229130746,0.0009465075229130746,0.0
76,0.0009454451722209404,0.0009454451722209404,0.0
77,0.000944977275943303,0.000944977275943303,0.0
78,0.000944352575837698,0.000944352575837698,0.0
79,0.0009395630028236179,0.0009395630028236179,0.0
80,0.0009434845058096164,0.0009434845058096164,0.0
81,0.0009431605048027909,0.0009431605048027909,0.0
82,0.0009428998075801139,0.0009428998075801139,0.0
83,0.0009425423201493413,0.0009425423201493413,0.0
84,0.0009414603367914793,0.0009414603367914793,0.0
85,0.0009404791217360967,0.0009404791217360967,0.0
86,0.000940522838824459,0.000940522838824459,0.0
87,0.0009393440203069444,0.0009393440203069444,0.0
88,0.0009350425817395775,0.0009350425817395775,0.0
89,0.000938394016548707,0.000938394016548707,0.0
90,0.0009384219709048505,0.0009384219709048505,0.0
91,0.0009395661290038002,0.0009395661290038002,0.0
92,0.0009361362373802708,0.0009361362373802708,0.0
93,0.0009350202088625848,0.0009350202088625848,0.0
94,0.0009299083271478392,0.0009299083271478392,0.0
95,0.0009348421146702604,0.0009348421146702604,0.0
96,0.0009336953232646439,0.0009336953232646439,0.0
97,0.0009336648766513293,0.0009336648766513293,0.0
98,0.0009338187317402699,0.0009338187317402699,0.0
99,0.0009337125358719281,0.0009337125358719281,0.0
