System,Output,Method,Amplitude,NoiseStd,Replicates,PICP_mean,PICP_min,PICP_max,PICP_sd,MPIW_mean,MPIW_min,MPIW_max,MPIW_sd,NMPIW_mean,NMPIW_min,NMPIW_max,NMPIW_sd,RMSE_mean,RMSE_min,RMSE_max,RMSE_sd,MaxExcess_mean,MaxExcess_min,MaxExcess_max,MaxExcess_sd,MinSlack_mean,MinSlack_min,MinSlack_max,MinSlack_sd,Violations_total
1,1,MANFIZ_noise,1.0,0.005,20,1.0,1.0,1.0,0.0,0.5638163286116326,0.5617135259335015,0.5677639773868646,0.001609686350038953,0.20579300135684284,0.18412115909176718,0.23164281251680258,0.012510759252057321,0.008664562585491566,0.007988059189186207,0.00949939413443572,0.0004967489276940712,0.0,0.0,0.0,0.0,0.18083767158426228,0.1682026416597208,0.1885833955407745,0.004700265224577153,0
1,1,MANFIZ_noise,1.0,0.01,20,1.0,1.0,1.0,0.0,0.5638386083780611,0.5617444933771687,0.5677668555231669,0.0016079990971068817,0.20527868551821063,0.18327997512799213,0.2301172905555151,0.012417506680615427,0.012619471965587306,0.01188002030463865,0.01322509369173835,0.00035798578217948086,0.0,0.0,0.0,0.0,0.1725082133117827,0.15947662354559625,0.18135396877578483,0.005249123322986606,0
1,1,MANFIZ_noise,1.0,0.02,20,1.0,1.0,1.0,0.0,0.5639219210255247,0.561847443358277,0.5678946448717178,0.0016041752896263778,0.20372677609785392,0.181460620484333,0.2271398870288831,0.012136155871377587,0.02226991218635888,0.02119787178424301,0.0226792933386739,0.00031822266651727855,0.0,0.0,0.0,0.0,0.15491845378104985,0.1420450731742411,0.1654575660205198,0.0065828595050659465,0
1,1,MANFIZ_noise,1.15,0.005,20,1.0,1.0,1.0,0.0,0.5844548740658457,0.5819646155891867,0.5893206385787683,0.0019838408369935528,0.18948637534021573,0.17039624919733962,0.2117442537054168,0.010877263596816717,0.0115475921541013,0.01033119756681545,0.013147126829521532,0.0008640669222420619,0.0,0.0,0.0,0.0,0.1714929314514024,0.15280836455243493,0.18176163983883648,0.0071130476033915155,0
1,1,MANFIZ_noise,1.15,0.01,20,1.0,1.0,1.0,0.0,0.5844750162740977,0.58199499193214,0.5893261132186601,0.001982831391175491,0.18907396772661678,0.16982650953038297,0.21051212735226602,0.01078507268268869,0.014754976585526464,0.013667525586422159,0.016071562505305302,0.0006917858060587858,0.0,0.0,0.0,0.0,0.16345086895229075,0.1459932805704109,0.174347482228325,0.007142858151160681,0
1,1,MANFIZ_noise,1.15,0.02,20,1.0,1.0,1.0,0.0,0.5845497682535677,0.5820916334916563,0.5893658301820212,0.00198024633308543,0.18783480396291433,0.1683186024690507,0.20810133674376977,0.010557083875803494,0.02355881035874318,0.022240349807266132,0.02449203237701538,0.0004981963705722085,0.0,0.0,0.0,0.0,0.14597696307733596,0.13236328777394016,0.1611927938650934,0.008036835457354122,0
1,1,MANFIZ_noise,1.3,0.005,20,1.0,1.0,1.0,0.0,0.6047226573398636,0.6017256622929235,0.6105942263642639,0.0024067242431241027,0.17706113751985816,0.16006904939120542,0.19672164235087336,0.009645328466993681,0.0158294786122234,0.013944727474105103,0.018340910977738715,0.0012764278850168663,0.0,0.0,0.0,0.0,0.15210569774425495,0.12189774825140265,0.1729927531103193,0.015833747007863764,0
1,1,MANFIZ_noise,1.3,0.01,20,1.0,1.0,1.0,0.0,0.6047407362813146,0.6017469169994906,0.6105989990943308,0.0024060622669782724,0.17667423202000515,0.15973333713149315,0.19569162643104818,0.009520732867460031,0.01830587299972664,0.016698386260339836,0.020561921474665148,0.0011239434961897844,0.0,0.0,0.0,0.0,0.14586702536964913,0.11348423401383939,0.1706075221181901,0.016586540211009356,0
1,1,MANFIZ_noise,1.3,0.02,20,1.0,1.0,1.0,0.0,0.6048070600955449,0.6018213332967078,0.6106337561872949,0.0024041886190880935,0.17570273126398042,0.15844316633283856,0.19367278243286343,0.009378796069361362,0.02594750982581377,0.024245425567278357,0.027692587496265828,0.0008429320235184581,0.0,0.0,0.0,0.0,0.1297063570290376,0.096657306438931,0.15707847343168482,0.016375363248721155,0
1,1,MANFIZ_validation,1.0,0.005,20,1.0,1.0,1.0,0.0,0.44011156551241637,0.4379441268975691,0.44403248361536163,0.0016025594156711225,0.16064389413788643,0.14372874079099088,0.1808257332519846,0.00982656247743294,0.008664562585491566,0.007988059189186207,0.00949939413443572,0.0004967489276940712,0.0,0.0,0.0,0.0,0.12441104965445132,0.11156121158755478,0.13100171389680787,0.004428791271617256,0
