System,Method,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,MANFIZ_parameters,1,0.01435228868636943,0.011323091358491279,0.9995332972132865,1.0,0.37626641477112865,0.11178544856808519,0,0.0,0.07324538150863838
1,MANFIZ_parameters,2,0.01257009220284976,0.010360465275045243,0.9995269870443241,1.0,0.42062627645415873,0.14847925298021628,0,0.0,0.07788334163525595
1,MANFIZ_validation,1,0.01435228868636943,0.011323091358491279,0.9995332972132865,1.0,0.46221310778834196,0.13731945653346977,0,0.0,0.11621872801724487
1,MANFIZ_validation,2,0.01257009220284976,0.010360465275045243,0.9995269870443241,1.0,0.49181336511042767,0.1736079868163944,0,0.0,0.11347688596338995
1,MANFIZ_noise,1,0.01435228868636943,0.011323091358491279,0.9995332972132865,1.0,0.585909883513131,0.1740686826615371,0,0.0,0.1737829588490919
1,MANFIZ_noise,2,0.01257009220284976,0.010360465275045243,0.9995269870443241,1.0,0.6162777972572693,0.21754339204965237,0,0.0,0.17217175195029738
1,MANFIS_validation_box,1,0.014204567842639447,0.0112275424040506,0.999542854844095,0.9909604519774011,0.08300994126503274,0.024661524801692453,16,0.037669386667050095,-0.037669386667050095
1,MANFIS_validation_box,2,0.012480891422535924,0.010299622420957824,0.9995336764809875,0.9937853107344633,0.07091570663161223,0.02503293715739486,11,0.013837787149258485,-0.013837787149258485
2,MANFIZ_parameters,1,0.012330005362884615,0.010203642665800738,0.9991720105516452,1.0,0.2764956305433507,0.10926547328923357,0,0.0,0.06610809187884155
2,MANFIZ_parameters,2,0.01187598544225605,0.009729832390024106,0.9987214489107228,1.0,0.2508703785648726,0.1385489703819369,0,0.0,0.03464846787968997
2,MANFIZ_validation,1,0.012330005362884615,0.010203642665800738,0.9991720105516452,1.0,0.3379344023173827,0.1335448315669995,0,0.0,0.09682747776585729
2,MANFIZ_validation,2,0.01187598544225605,0.009729832390024106,0.9987214489107228,1.0,0.30994756680285845,0.17117571432140216,0,0.0,0.06418706199868338
2,MANFIZ_noise,1,0.012330005362884615,0.010203642665800738,0.9991720105516452,1.0,0.446598927779916,0.1764868512332094,0,0.0,0.15001355951706205
2,MANFIZ_noise,2,0.01187598544225605,0.009729832390024106,0.9987214489107228,1.0,0.4159592447972705,0.2297231160457915,0,0.0,0.11539608291687578
2,MANFIS_validation_box,1,0.012345636017581395,0.010212133119086413,0.9991699099490863,0.9887005649717514,0.06303084915165888,0.02490851501285657,20,0.01582036712514405,-0.01582036712514405
2,MANFIS_validation_box,2,0.011854559100214022,0.009715193679608596,0.9987260582057939,0.992090395480226,0.05934622766032347,0.03277532718460669,14,0.011861133279311147,-0.011861133279311147
3,MANFIZ_parameters,1,0.011763280156466953,0.009862190718914237,0.9990075702013077,1.0,0.2721673562488897,0.12168106331166358,0,0.0,0.025309732322753103
3,MANFIZ_parameters,2,0.01180680432739072,0.009757757627535243,0.999420890147936,1.0,0.3075336851405871,0.13438172213075597,0,0.0,0.0428552898125431
3,MANFIZ_validation,1,0.011763280156466953,0.009862190718914237,0.9990075702013077,1.0,0.33749247418198947,0.150886732649137,0,0.0,0.05797229128930306
3,MANFIZ_validation,2,0.01180680432739072,0.009757757627535243,0.999420890147936,1.0,0.3814362256779692,0.16667460953498112,0,0.0,0.07980656008123396
3,MANFIZ_noise,1,0.011763280156466953,0.009862190718914237,0.9990075702013077,1.0,0.4646716560138716,0.20774622634337372,0,0.0,0.11870802553305854
3,MANFIZ_noise,2,0.01180680432739072,0.009757757627535243,0.999420890147936,1.0,0.518822108435689,0.2267075503589974,0,0.0,0.1491117979203852
3,MANFIS_validation_box,1,0.011756783986783396,0.009854269395634038,0.9990086660201843,0.996045197740113,0.0650401545941048,0.029078267423549395,7,0.011697818163069064,-0.011697818163069064
3,MANFIS_validation_box,2,0.011809967279420863,0.0097600986919234,0.9994205798282287,1.0,0.07390622444193104,0.032294497144755616,0,0.0,0.0017218996202986725
