System,Amplitude,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,1.0,1,1,0.006168775524328053,0.004573463550573705,0.9998879305014928,1.0,0.4404496039917871,0.16205956797227997,0,0.0,0.12771103201974301
1,1.0,1,2,0.005170147796062736,0.0038690152567532393,0.9999004542887125,1.0,0.46865839273830695,0.17440250262420498,0,0.0,0.11941959665277455
1,1.0,2,1,0.006955615934836894,0.004666809286522415,0.9998542261916954,1.0,0.4404480321597974,0.15282509320656415,0,0.0,0.12630089294750282
1,1.0,2,2,0.005020144016802816,0.0038551807444052425,0.9999094594788532,1.0,0.4700520001525319,0.1865305996181501,0,0.0,0.12211183651766735
1,1.0,3,1,0.007646583452736811,0.005209314943602384,0.9998316460922462,1.0,0.4384154494108824,0.16174949235442465,0,0.0,0.12708880027338074
1,1.0,3,2,0.004834341342838962,0.00359355273276188,0.9999090217774258,1.0,0.46514476328689924,0.17479709162279372,0,0.0,0.1157359509255591
1,1.0,4,1,0.00600183043884494,0.004474495788512394,0.9998935891079693,1.0,0.4403166721176328,0.15666526955305934,0,0.0,0.1270232607988133
1,1.0,4,2,0.005582518070708277,0.004005282212380343,0.9998836771655683,1.0,0.4681220985874196,0.1873018221639125,0,0.0,0.10872082433058945
1,1.0,5,1,0.006555013620491,0.004716852791446525,0.9998749084722477,1.0,0.4387695280344129,0.1711324411032105,0,0.0,0.13178226615826025
1,1.0,5,2,0.0051385668931958365,0.003938112018198319,0.9998958223782282,1.0,0.46513842534674077,0.1555336233928307,0,0.0,0.12465225536883345
1,1.0,6,1,0.006304142362420954,0.004866941947356375,0.9998833448626694,1.0,0.4440413853341667,0.173316091541953,0,0.0,0.12881075601166614
1,1.0,6,2,0.004874400749399159,0.003654976559429029,0.9999108733118517,1.0,0.4714063871437645,0.17865510731467354,0,0.0,0.12355094132906785
1,1.0,7,1,0.006297430395989481,0.004488614683602744,0.9998847517675934,1.0,0.4398962524846599,0.18203835688092876,0,0.0,0.13336063611146073
1,1.0,7,2,0.005008403937469039,0.0038785124848867204,0.9999056826272452,1.0,0.46671630665439817,0.1885753270965335,0,0.0,0.12999116255308352
1,1.0,8,1,0.00621941115416484,0.004648711872475519,0.9998875143580349,1.0,0.43921578182909027,0.15564341120026565,0,0.0,0.1343002023111389
1,1.0,8,2,0.005331749855790963,0.004002866458887445,0.9998914754929621,1.0,0.46635684560185664,0.17490051096404743,0,0.0,0.1297402331424165
1,1.0,9,1,0.0068527001804837805,0.004882097436078043,0.9998623780831644,1.0,0.43863931953077584,0.16194524484136905,0,0.0,0.13197856453601176
1,1.0,9,2,0.005099728281351019,0.0039099427435403435,0.999900190170798,1.0,0.4659509518530124,0.19476485179941122,0,0.0,0.11007145455113013
1,1.0,10,1,0.00786204242037422,0.005295256475151198,0.9998148906581436,1.0,0.43792713496934194,0.14623857059708276,0,0.0,0.12029161829104387
1,1.0,10,2,0.005663138922016855,0.003982941485223148,0.9998785899135368,1.0,0.46505793816024793,0.1569889987282393,0,0.0,0.09376651360536234
1,1.0,11,1,0.007250863498612122,0.0050133325233018625,0.9998475320331514,1.0,0.44010236069039144,0.14395606273723327,0,0.0,0.13605654697502215
1,1.0,11,2,0.005400237372148233,0.004128806334773501,0.9998892868181888,1.0,0.4679004970167907,0.1690074849061831,0,0.0,0.11356986886628453
1,1.0,12,1,0.007500757046707948,0.00530198463347308,0.9998380726867573,1.0,0.44046540735593603,0.1603263488680812,0,0.0,0.13301726936040445
1,1.0,12,2,0.0051883428081039035,0.004021279184522916,0.9998976008467239,1.0,0.4675334741207081,0.17926313571913205,0,0.0,0.12756331298696238
1,1.0,13,1,0.007290061856595118,0.005044045026248742,0.9998436316522484,1.0,0.44016422938406585,0.16237048630143167,0,0.0,0.1344423684474364
1,1.0,13,2,0.005041737594476347,0.003754324788933572,0.9999073751718223,1.0,0.4692010038818,0.17194681401218243,0,0.0,0.11112450812649094
1,1.0,14,1,0.007416581040447053,0.005082555691738586,0.999835276254444,1.0,0.4401167307867872,0.16136641696144702,0,0.0,0.13172705416486033
1,1.0,14,2,0.005106683954521176,0.0038543847363364954,0.9999049230525952,1.0,0.4688982193870652,0.2071249643490765,0,0.0,0.110426111487814
1,1.0,15,1,0.0064746827557324495,0.00480468917750303,0.9998787697970511,1.0,0.43838525370708836,0.14705587611607893,0,0.0,0.12977009203142184
1,1.0,15,2,0.005324691287005648,0.004013985985042996,0.9998904104284132,1.0,0.4643851320286869,0.19505076396661394,0,0.0,0.12127189289858639
1,1.0,16,1,0.006632368371287138,0.004751286069607017,0.9998737763815722,1.0,0.44392788091365376,0.1716758598013873,0,0.0,0.13018050258574446
1,1.0,16,2,0.005361215877494245,0.003994008106966599,0.999889296668498,1.0,0.4706454565360141,0.17966260147451213,0,0.0,0.1240076766730415
1,1.0,17,1,0.00789176023417018,0.005655901058091742,0.999822758392458,1.0,0.4389286491136138,0.15235559321506006,0,0.0,0.12956732081379813
1,1.0,17,2,0.005520135676643507,0.004106042233986173,0.9998811000039078,1.0,0.46516597666871834,0.1632968062165336,0,0.0,0.117600787394613
1,1.0,18,1,0.007213943913505714,0.00484949008444538,0.9998416461099665,1.0,0.43987403110539763,0.1721645381250531,0,0.0,0.12900097175045955
1,1.0,18,2,0.005101453371159426,0.0037766848549928133,0.9999043295062847,1.0,0.46823700597537776,0.20272551340601733,0,0.0,0.10818835828856632
1,1.0,19,1,0.006650100550053475,0.004879928540712029,0.9998705467898844,1.0,0.4411344166196579,0.1567252764865848,0,0.0,0.13125975866112746
1,1.0,19,2,0.004957335250136518,0.0038344149736203384,0.9999066650222477,1.0,0.46858502911248867,0.1860032811558634,0,0.0,0.12114688337352957
1,1.0,20,1,0.006029114295366267,0.004651491677400503,0.9998899493199834,1.0,0.44083168792731453,0.1670862699294031,0,0.0,0.13271159413695754
1,1.0,20,2,0.005590231753337424,0.004014200045816983,0.9998890804352573,1.0,0.4697628910917782,0.18957053842446678,0,0.0,0.12394807046780162
1,1.15,1,1,0.009197377186802224,0.006409752782735619,0.999806885559087,1.0,0.46172951141459895,0.15131261760178344,0,0.0,0.12243350759940949
1,1.15,1,2,0.007343225640413401,0.00518927952854111,0.9998451901521056,1.0,0.49385957739621406,0.1620758147314861,0,0.0,0.11034238334133809
1,1.15,2,1,0.010696541555177724,0.006613715688043784,0.9997329936376337,1.0,0.46140803816178194,0.1427848009270295,0,0.0,0.1243567119427888
1,1.15,2,2,0.00686392519238936,0.00510280327560673,0.9998694161416011,1.0,0.49562998291028654,0.17363578123631862,0,0.0,0.11867256081531231
1,1.15,3,1,0.011492608942191437,0.007322171687695681,0.9997049907695829,1.0,0.458723948692977,0.14979222159468802,0,0.0,0.12221785950081218
1,1.15,3,2,0.0071359171678324115,0.004812133199673389,0.9998472750691231,1.0,0.4893727348948855,0.16226296135230042,0,0.0,0.11492249601016352
1,1.15,4,1,0.008911293234508818,0.006261118704669443,0.9998182700418989,1.0,0.46111906884153947,0.14608853095702418,0,0.0,0.12435547550070628
1,1.15,4,2,0.007975076189551006,0.005254279424569794,0.9998169710941393,1.0,0.4928693571786205,0.174152972125931,0,0.0,0.10430929499578813
1,1.15,5,1,0.009864028927073925,0.0066864314603267,0.999779991057793,1.0,0.45922223579198074,0.15816289088931249,0,0.0,0.12859344355496108
1,1.15,5,2,0.007469024939801178,0.005365163355612804,0.999830460952805,1.0,0.48928403962916894,0.1443585732568403,0,0.0,0.11107935504428834
1,1.15,6,1,0.009278038984078104,0.006648892137411324,0.9998044480093418,1.0,0.4658164068704251,0.1609542169571573,0,0.0,0.11716457741153266
1,1.15,6,2,0.006951446333978133,0.005069172894489506,0.9998602077811887,1.0,0.4971274838057522,0.16611601661535372,0,0.0,0.12131314434173282
1,1.15,7,1,0.009474714012447392,0.0063038637928844975,0.9997977509112284,1.0,0.4606393600719815,0.16799576776850306,0,0.0,0.12916690733860706
1,1.15,7,2,0.007482604000585796,0.005282545506178547,0.99983785030344,1.0,0.4911558958235364,0.17467894206583007,0,0.0,0.12769601325724284
1,1.15,8,1,0.009284524184655427,0.006511001239721653,0.9998053292492527,1.0,0.45977680731968923,0.14526582681016348,0,0.0,0.12528449715389006
1,1.15,8,2,0.007474155529364874,0.005283204222460363,0.9998356170347072,1.0,0.49078042200552846,0.16250363235839307,0,0.0,0.12317799303353794
1,1.15,9,1,0.010253929732802938,0.0067578039771298,0.9997607569627274,1.0,0.45920526318319127,0.15070958371463253,0,0.0,0.12383123272551716
1,1.15,9,2,0.007086281089799251,0.005136507987734018,0.9998513825349162,1.0,0.4904819042458498,0.18079294406603041,0,0.0,0.10843275326512493
1,1.15,10,1,0.01150581591855563,0.007196975188261812,0.9996921941394016,1.0,0.45833630367154443,0.1365991350465384,0,0.0,0.11604257380785504
1,1.15,10,2,0.0078299729423426,0.005152161239652596,0.9998209638111162,1.0,0.4893382820381231,0.14545860841574806,0,0.0,0.08329105963606472
1,1.15,11,1,0.010784763604763074,0.006821494400523967,0.9997386597875222,1.0,0.4609864138294184,0.1345852446491574,0,0.0,0.12387234124229579
1,1.15,11,2,0.007426912773092751,0.0053734924727205586,0.9998387122391947,1.0,0.49296363329694964,0.15724363095761565,0,0.0,0.10721307598832791
1,1.15,12,1,0.011344437181486035,0.0072578811931988734,0.999712763150064,1.0,0.46137551082805117,0.14882460138631104,0,0.0,0.11453969261572117
1,1.15,12,2,0.007281414587224677,0.005293846422317689,0.9998444054962676,1.0,0.4923173320397102,0.1665758986256754,0,0.0,0.12387168654202124
1,1.15,13,1,0.010835868698407232,0.0069089114189169794,0.9997323570622657,1.0,0.46112875112882995,0.1511052355520507,0,0.0,0.10840573710118537
1,1.15,13,2,0.007257657634759478,0.005126524521645015,0.999852107116379,1.0,0.494425568227646,0.1599572023750435,0,0.0,0.10454046602686587
1,1.15,14,1,0.011011639205158708,0.0071262154894812775,0.9997189800675444,1.0,0.4611048634240279,0.1496342917804304,0,0.0,0.12199382488494756
1,1.15,14,2,0.007214389640723195,0.005098178847754188,0.9998536421731777,1.0,0.49435323330704617,0.192766262687294,0,0.0,0.09757128587320663
