Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_validation,1,1.0,0.02,7,1,0.0224120982885995,0.01892199842774421,0.9985381557814494,1.0,0.43989177881977837,0.1773119776655203,0,0.0,0.09398491209448834
MANFIZ_validation,1,1.0,0.02,7,2,0.02150454429218131,0.018215500510669266,0.9982685509170294,1.0,0.4668583774674927,0.18527240204097353,0,0.0,0.10202174363042166
MANFIZ_noise,1,1.0,0.005,8,1,0.008121270990415071,0.006480252031508069,0.999808317255088,1.0,0.5630054915372388,0.19902414915414204,0,0.0,0.1885833955407745
MANFIZ_noise,1,1.0,0.005,8,2,0.007558525981198056,0.006063076304035378,0.9997820322008847,1.0,0.5911668564664944,0.22178102386791315,0,0.0,0.18018195505559548
MANFIZ_validation,1,1.0,0.005,8,1,0.008121270990415071,0.006480252031508069,0.999808317255088,1.0,0.43924155873044324,0.15527322346496755,0,0.0,0.13100171389680787
MANFIZ_validation,1,1.0,0.005,8,2,0.007558525981198056,0.006063076304035378,0.9997820322008847,1.0,0.46639174864800265,0.17497063376820574,0,0.0,0.11993973659462936
MANFIZ_noise,1,1.0,0.01,8,1,0.012252296429232583,0.010077475443022982,0.9995640432940517,1.0,0.5630462381455981,0.19822331936228146,0,0.0,0.18135396877578483
MANFIZ_noise,1,1.0,0.01,8,2,0.011889651166009672,0.009904048404433083,0.9994611057550078,1.0,0.5912204381190101,0.22187347026208312,0,0.0,0.17121644512213316
MANFIZ_validation,1,1.0,0.01,8,1,0.012252296429232583,0.010077475443022982,0.9995640432940517,1.0,0.4392823053388035,0.15465159129409886,0,0.0,0.124210781534838
MANFIZ_validation,1,1.0,0.01,8,2,0.011889651166009672,0.009904048404433083,0.9994611057550078,1.0,0.46644533030051755,0.17504781203197675,0,0.0,0.11022865978181037
MANFIZ_noise,1,1.0,0.02,8,1,0.02211595559894047,0.018577141611332112,0.9985823213930046,1.0,0.5631715696012185,0.19624975845931902,0,0.0,0.16374313004528826
MANFIZ_noise,1,1.0,0.02,8,2,0.021826932413946374,0.018507923061989697,0.9981878334910154,1.0,0.5913802152320115,0.22207830190996683,0,0.0,0.1519921722435035
MANFIZ_validation,1,1.0,0.02,8,1,0.02211595559894047,0.018577141611332112,0.9985823213930046,1.0,0.43940763679442535,0.15312144156557506,0,0.0,0.10617863823250243
MANFIZ_validation,1,1.0,0.02,8,2,0.021826932413946374,0.018507923061989697,0.9981878334910154,1.0,0.4666051074135211,0.17522207751955132,0,0.0,0.09100438690318072
MANFIZ_noise,1,1.0,0.005,9,1,0.008699865459558408,0.006784155081028076,0.9997781423139128,1.0,0.5622795890409821,0.2075159326652699,0,0.0,0.18518585802245477
MANFIZ_noise,1,1.0,0.005,9,2,0.007242658367187606,0.005769246953745439,0.9997986394747437,1.0,0.5904484363642948,0.24523437300464188,0,0.0,0.16850455728070407
MANFIZ_validation,1,1.0,0.005,9,1,0.008699865459558408,0.006784155081028076,0.9997781423139128,1.0,0.4386440324380079,0.16188676820846445,0,0.0,0.1279747406821033
MANFIZ_validation,1,1.0,0.005,9,2,0.007242658367187606,0.005769246953745439,0.9997986394747437,1.0,0.4659404624270953,0.19352175418464931,0,0.0,0.1098318955454445
MANFIZ_noise,1,1.0,0.01,9,1,0.012695749250587925,0.010435010453651201,0.9995275166184674,1.0,0.5622982434907225,0.20719933853974326,0,0.0,0.1752826223231292
MANFIZ_noise,1,1.0,0.01,9,2,0.011558070925701913,0.009527142143369447,0.9994871781453954,1.0,0.5904553503562427,0.24368734740610537,0,0.0,0.16722195212422852
MANFIZ_validation,1,1.0,0.01,9,1,0.012695749250587925,0.010435010453651201,0.9995275166184674,1.0,0.43866268688774884,0.16164129911017175,0,0.0,0.11826093295750945
MANFIZ_validation,1,1.0,0.01,9,2,0.011558070925701913,0.009527142143369447,0.9994871781453954,1.0,0.4659473764190424,0.1923015518817545,0,0.0,0.10854929038896896
