System,Method,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,Shared_feature_quantile95_calibrated,1,0.014464657993403867,0.0113071604916196,0.9995259606319442,0.911864406779661,0.046523190729140636,0.013821631536364848,156,0.05556683252305433,-0.05556683252305433
1,Shared_feature_quantile95_calibrated,2,0.012571927080689448,0.010356008007648364,0.9995268489412263,0.9146892655367231,0.04243445021585093,0.014979177054247556,151,0.02043277680754227,-0.02043277680754227
2,Shared_feature_quantile95_calibrated,1,0.01249970504498597,0.010280357439794318,0.9991490622286222,0.9096045197740112,0.04052569625787544,0.016014934388983857,160,0.0372369400651249,-0.0372369400651249
2,Shared_feature_quantile95_calibrated,2,0.011848116343588413,0.00969958358595548,0.9987274425620558,0.9288135593220339,0.04037687687129461,0.022299064360480136,126,0.03561546601188396,-0.03561546601188396
3,Shared_feature_quantile95_calibrated,1,0.01180644557902982,0.009934569104597446,0.9990002733845372,0.9175141242937853,0.039849272055396,0.017815883075493286,146,0.023677532472104246,-0.023677532472104246
3,Shared_feature_quantile95_calibrated,2,0.012002419635423341,0.009908522392893838,0.999401541781675,0.9242937853107345,0.0432303818357702,0.018890201106929905,134,0.017152441620213246,-0.017152441620213246
