Evaluation,Objective,DataMSE,Penalty
0,0.0013919910628611663,0.0013919910628611663,0.0
1,0.0013919910628611663,0.0013919910628611663,0.0
2,0.0013856455281194072,0.0013856455281194072,0.0
3,0.001396196732957865,0.001396196732957865,0.0
4,0.0013958063694999683,0.0013958063694999683,0.0
5,0.0013824199032940643,0.0013824199032940643,0.0
6,0.001395426684502088,0.001395426684502088,0.0
7,0.0014014658028147717,0.0014014658028147717,0.0
8,0.0013804892416813166,0.0013804892416813166,0.0
9,0.0013980448088290415,0.0013980448088290415,0.0
10,0.0013968113100938585,0.0013968113100938585,0.0
11,0.0013804790604363263,0.0013804790604363263,0.0
12,0.0013980542228622102,0.0013980542228622102,0.0
13,0.001396767712138573,0.001396767712138573,0.0
14,0.0013897146242326053,0.0013897146242326053,0.0
15,0.0013928723693371937,0.0013928723693371937,0.0
16,0.0013940563805235763,0.0013940563805235763,0.0
17,0.0013908594683768624,0.0013908594683768624,0.0
18,0.001393035897548154,0.001393035897548154,0.0
19,0.0013923127760593888,0.0013923127760593888,0.0
20,0.0013842955289867045,0.0013842955289867045,0.0
21,0.001383740182304029,0.001383740182304029,0.0
22,0.0013820435872172994,0.0013820435872172994,0.0
23,0.001381222873213496,0.001381222873213496,0.0
24,0.0013788928030944172,0.0013788928030944172,0.0
25,0.0013686738115792406,0.0013686738115792406,0.0
26,0.0013782433931615512,0.0013782433931615512,0.0
27,0.0013765189466316801,0.0013765189466316801,0.0
28,0.0013747109835632219,0.0013747109835632219,0.0
29,0.0013740828908297919,0.0013740828908297919,0.0
30,0.0013723487715607168,0.0013723487715607168,0.0
31,0.0013701261043315008,0.0013701261043315008,0.0
32,0.0013685181456491661,0.0013685181456491661,0.0
33,0.0013572068453027847,0.0013572068453027847,0.0
34,0.0013645391791823691,0.0013645391791823691,0.0
35,0.0013632002569722726,0.0013632002569722726,0.0
36,0.001361255527651595,0.001361255527651595,0.0
37,0.0013649386472446268,0.0013649386472446268,0.0
38,0.001362766890922305,0.001362766890922305,0.0
39,0.0013584949253908362,0.0013584949253908362,0.0
40,0.0013582613246984308,0.0013582613246984308,0.0
41,0.0013531416278698464,0.0013531416278698464,0.0
42,0.0013341492108145732,0.0013341492108145732,0.0
43,0.0013540314475178601,0.0013540314475178601,0.0
44,0.001350987878818614,0.001350987878818614,0.0
45,0.0013471450364785898,0.0013471450364785898,0.0
46,0.001344580450465716,0.001344580450465716,0.0
47,0.0013453038710520436,0.0013453038710520436,0.0
48,0.0013412538064965667,0.0013412538064965667,0.0
49,0.0013387958500767811,0.0013387958500767811,0.0
50,0.0013359321244207393,0.0013359321244207393,0.0
51,0.0013337252973836934,0.0013337252973836934,0.0
52,0.0013126174703348233,0.0013126174703348233,0.0
53,0.0013327141794784274,0.0013327141794784274,0.0
54,0.0013323964568654019,0.0013323964568654019,0.0
55,0.0013259111374779137,0.0013259111374779137,0.0
